case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,admissible,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,n5_gt,n6_gt,n7_gt,n_atoms_gt,n_atoms_init_recon,atom_recon_err,ring_l1_init,tau_init_57,nx_sweep,Ef_rel
T0_pristine,K2,R2,P3,K2/R2/P3,0.01,1024,256,148,0.00392156862745098,0.09821016919238727,0.0780293638716884,0.20548590320790502,True,15000,True,2.220446049250313e-16,49.33660805999323,0.0009138758350609306,0.8201278170489426,False,1024,1029,0,0,436,0,0,437,1.0,0,22,0,445,0,1024,1024,0.0,0.020224719101123594,1.0,256,
T0_pristine,K2,R2,P3,K2/R2/P3,0.01,1024,384,222,0.0026109660574412533,0.09966392497901923,0.0778342948763375,0.21903241425899286,True,14000,True,0.0,55.82056985049078,0.00046068133076836236,0.8304360778059825,False,1024,1035,0,0,440,0,1,434,nan,0,26,0,445,0,1024,1024,0.0,0.011235955056179775,1.0,384,
T0_pristine,K2,R2,P3,K2/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.10031337129676889,0.07773684149436441,0.2250600245067396,True,13400,True,0.0,58.530914491618326,0.00035024802161659827,0.8347251793203554,False,1024,1035,0,0,435,0,0,442,1.0,0,7,0,445,0,1024,1024,0.0,0.02247191011235955,1.0,512,
T0_pristine,K2,R2,P3,K2/R2/P3,0.01,1024,768,444,0.001303780964797914,0.10073497551991718,0.07763687099295401,0.2292957774372641,True,13000,True,2.220446049250313e-16,60.53779255320147,0.00023538239825514904,0.8376754997950114,False,1024,1035,0,0,439,0,0,436,1.0,0,7,0,445,0,1024,1024,0.0,0.01348314606741573,1.0,768,0.0
T0_pristine,K3,R2,P3,K3/R2/P3,0.01,1024,256,148,0.00392156862745098,0.08876286626188921,0.07794409972858082,0.12188392498940159,True,9400,True,0.0,36.14467694414349,0.001066818608851677,0.7278618906588336,False,1010,969,0,0,428,2,0,379,nan,6,130,0,445,0,1024,1010,0.013671875,0.038202247191011236,1.0,256,
T0_pristine,K3,R2,P3,K3/R2/P3,0.01,1024,384,222,0.0026109660574412533,0.0892193127471027,0.07774195722871792,0.12864205254436337,True,8800,True,2.220446049250313e-16,40.61761049658077,0.0004465001051994708,0.7382999433034595,False,1021,995,0,0,438,0,0,410,1.0,0,79,0,445,0,1024,1021,0.0029296875,0.015730337078651686,1.0,384,
T0_pristine,K3,R2,P3,K3/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.09013904723831914,0.07764797402112096,0.138575607352194,True,8800,True,2.220446049250313e-16,43.7146379742249,0.0003444219775683166,0.7522012797455053,False,1019,991,0,0,441,0,0,422,1.0,2,47,0,445,0,1024,1019,0.0048828125,0.008988764044943821,1.0,512,
T0_pristine,K3,R2,P3,K3/R2/P3,0.01,1024,768,444,0.001303780964797914,0.08939002709639997,0.07753884495817652,0.1325783482025674,True,8000,True,1.1102230246251565e-16,43.57175980618061,0.0002320326032807138,0.7441084579800408,False,1021,979,0,0,441,0,0,419,1.0,0,54,0,445,0,1024,1021,0.0029296875,0.008988764044943821,1.0,768,0.0
T0_pristine,K3,R2,P4,K3/R2/P4,0.01,1024,256,148,0.00392156862745098,0.09249192826141518,0.08222272439842587,0.11102810867954743,True,8400,True,0.0,34.919346677447024,0.0010952723474560776,0.7100333446028958,False,1010,955,0,0,428,3,0,394,nan,6,86,0,445,0,1024,1010,0.013671875,0.038202247191011236,1.0,256,
T0_pristine,K3,R2,P4,K3/R2/P4,0.01,1024,384,222,0.0026109660574412533,0.09303528321008586,0.08211934838095723,0.11733112914246757,True,7800,True,2.220446049250313e-16,39.325258175554026,0.00042844382868491965,0.7208677906589118,False,1021,989,0,0,438,0,0,413,1.0,0,56,0,445,0,1024,1021,0.0029296875,0.015730337078651686,1.0,384,
T0_pristine,K3,R2,P4,K3/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.09510937835597918,0.08336120120289948,0.12352280454518537,True,7600,True,2.220446049250313e-16,42.07859964099967,0.0003275302787193026,0.7306931067995509,False,1019,991,0,0,441,0,0,412,1.0,2,61,0,445,0,1024,1019,0.0048828125,0.008988764044943821,1.0,512,
T0_pristine,K3,R2,P4,K3/R2/P4,0.01,1024,768,444,0.001303780964797914,0.0931084466290746,0.0818033928078662,0.12141813369785313,True,7200,True,1.1102230246251565e-16,42.27254199870263,0.00021339879754718778,0.7275680121634388,False,1021,974,0,0,441,0,0,413,1.0,0,55,0,445,0,1024,1021,0.0029296875,0.008988764044943821,1.0,768,0.0
T1_vacancy,K2,R2,P3,K2/R2/P3,0.01,1023,256,148,0.00392156862745098,0.09804016347002317,0.0780224891229904,0.20417830446757051,True,15000,True,1.1113082866238126e-16,49.0806728656248,0.0007186786067516844,0.8191540206363689,False,1023,1033,0,0,445,0,0,446,1.0,3,34,0,456,0,1023,1023,0.0,0.02412280701754386,1.0,256,
T1_vacancy,K2,R2,P3,K2/R2/P3,0.01,1023,384,222,0.0026109660574412533,0.09993805267269418,0.0778318982570257,0.22119857075930882,True,14200,True,2.222616573247625e-16,56.0175721884128,0.0004047617223439343,0.8320023104638592,False,1023,1035,0,0,447,0,0,445,1.0,3,37,0,456,0,1023,1023,0.0,0.019736842105263157,1.0,384,
T1_vacancy,K2,R2,P3,K2/R2/P3,0.01,1023,512,296,0.0019569471624266144,0.10024008532990165,0.07773212982144183,0.22454046636516276,True,13600,True,4.44523314649525e-16,58.248813575514305,0.00035187021056077374,0.8343716896459282,False,1023,1031,0,0,449,0,0,450,1.0,3,18,0,456,0,1023,1023,0.0,0.015350877192982455,1.0,512,
T1_vacancy,K2,R2,P3,K2/R2/P3,0.01,1023,768,444,0.001303780964797914,0.10074240321875307,0.07763409857135911,0.2293801210719219,True,13200,True,1.1113082866238126e-16,60.31680417303728,0.00026538976243360214,0.8376955302167018,False,1023,1032,0,0,436,0,0,452,1.0,3,25,0,456,0,1023,1023,0.0,0.043859649122807015,1.0,768,-3.5710115045048685e-05
T1_vacancy,K3,R2,P3,K3/R2/P3,0.01,1023,256,148,0.00392156862745098,0.0924882589375323,0.07797483632839097,0.1569217841904006,True,11600,True,1.1113082866238126e-16,41.74129359026188,0.0008522350717141065,0.7743356097515522,False,997,990,0,0,423,0,0,412,1.0,3,54,0,456,0,1023,997,0.02541544477028348,0.07236842105263158,1.0,256,
