config,case,protocol,tier,c2_h1,c2_h2,w_ratio,ringL1_init,ringL1_relaxed,healthy,nmax
h1_0.95,T3_dislocation_dipole,K3/R2/P4,good,0.95,0.6,0.1,0.008426966292134831,0.03089887640449438,True,0.6673590811149552
h1_0.95,T3_dislocation_dipole,K4/R2/P3,bad,0.95,0.6,0.1,2.3230337078651684,2.603932584269663,True,0.9138004485289594
h1_0.95,T4_low_angle_gb,K1/R2/P3,bad,0.95,0.6,0.1,2.2486033519553073,2.4664804469273744,True,0.579121534143412
h1_0.95,T4_low_angle_gb,K2/R2/P3,good,0.95,0.6,0.1,0.0,0.025139664804469275,True,1.1492576596662072
h1_0.95,T4_low_angle_gb,K3/R2/P3,good,0.95,0.6,0.1,0.0,0.030726256983240222,True,0.7621126924467421
h1_0.95,T4_low_angle_gb,K3/R2/P4,good,0.95,0.6,0.1,0.0,0.019553072625698324,True,0.6862057800734074
h1_0.95,T4_low_angle_gb,K4/R2/P3,bad,0.95,0.6,0.1,1.0307262569832403,1.1983240223463687,True,0.5934070129723794
h1_0.95,T5_high_angle_gb,K1/R2/P3,bad,0.95,0.6,0.1,2.0294117647058822,1.96524064171123,True,0.48542906789848744
h1_0.95,T5_high_angle_gb,K2/R2/P3,good,0.95,0.6,0.1,0.0106951871657754,0.07219251336898395,True,1.1421148753385175
h1_0.95,T5_high_angle_gb,K3/R2/P3,good,0.95,0.6,0.1,0.034759358288770054,0.053475935828877004,True,0.6755388596533708
h1_0.95,T5_high_angle_gb,K3/R2/P4,good,0.95,0.6,0.1,0.034759358288770054,0.05080213903743316,True,0.6298188384690266
h1_0.95,T5_high_angle_gb,K4/R2/P3,bad,0.95,0.6,0.1,1.0641711229946524,1.4197860962566844,True,0.7723513450511765
h1_1.15,T0_pristine,K1/R2/P3,bad,1.15,0.6,0.1,2.651685393258427,0.8089887640449438,True,0.8924195374077128
h1_1.15,T0_pristine,K2/R2/P3,good,1.15,0.6,0.1,0.02247191011235955,0.015730337078651686,True,1.0010508666334905
h1_1.15,T0_pristine,K3/R2/P3,good,1.15,0.6,0.1,0.008988764044943821,0.015730337078651686,True,0.7448602432472637
h1_1.15,T0_pristine,K3/R2/P4,good,1.15,0.6,0.1,0.008988764044943821,0.01348314606741573,True,0.714751782133674
h1_1.15,T0_pristine,K4/R2/P3,bad,1.15,0.6,0.1,1.5707865168539326,1.7932584269662921,True,1.010307839257796
h1_1.15,T1_vacancy,K1/R2/P3,bad,1.15,0.6,0.1,2.892543859649123,0.706140350877193,True,1.150010523204761
h1_1.15,T1_vacancy,K2/R2/P3,good,1.15,0.6,0.1,0.015350877192982455,0.017543859649122806,True,0.9997162771982465
h1_1.15,T1_vacancy,K3/R2/P3,good,1.15,0.6,0.1,0.03508771929824561,0.017543859649122806,True,0.7252550768169646
h1_1.15,T1_vacancy,K3/R2/P4,good,1.15,0.6,0.1,0.03508771929824561,0.03728070175438596,True,0.7016719522532124
h1_1.15,T1_vacancy,K4/R2/P3,bad,1.15,0.6,0.1,1.4824561403508771,1.7785087719298245,True,1.1009593364359982
h1_1.15,T2_stone_wales,K1/R2/P3,bad,1.15,0.6,0.1,2.694877505567929,0.8240534521158129,True,0.845759016362998
h1_1.15,T2_stone_wales,K2/R2/P3,good,1.15,0.6,0.1,0.0378619153674833,0.026726057906458798,True,0.9996115839905408
h1_1.15,T2_stone_wales,K3/R2/P3,good,1.15,0.6,0.1,0.0378619153674833,0.031180400890868598,True,0.7843136144734557
h1_1.15,T2_stone_wales,K3/R2/P4,good,1.15,0.6,0.1,0.0378619153674833,0.008908685968819599,True,0.7420840916888037
h1_1.15,T2_stone_wales,K4/R2/P3,bad,1.15,0.6,0.1,1.3697104677060135,1.5679287305122493,True,1.0880979319831792
h1_1.15,T3_dislocation_dipole,K1/R2/P3,bad,1.15,0.6,0.1,2.292134831460674,1.896067415730337,True,0.6407134615187959
h1_1.15,T3_dislocation_dipole,K2/R2/P3,good,1.15,0.6,0.1,0.014044943820224719,0.0,True,1.4330620457268703
h1_1.15,T3_dislocation_dipole,K3/R2/P3,good,1.15,0.6,0.1,0.008426966292134831,0.025280898876404494,True,0.8970138996622784
h1_1.15,T3_dislocation_dipole,K3/R2/P4,good,1.15,0.6,0.1,0.008426966292134831,0.03932584269662921,True,0.8140429885882363
h1_1.15,T3_dislocation_dipole,K4/R2/P3,bad,1.15,0.6,0.1,2.3230337078651684,2.6320224719101124,True,0.9121055472871776
h1_1.15,T4_low_angle_gb,K1/R2/P3,bad,1.15,0.6,0.1,2.2486033519553073,2.3966480446927374,True,0.5980136076187564
h1_1.15,T4_low_angle_gb,K2/R2/P3,good,1.15,0.6,0.1,0.0,0.027932960893854747,True,1.4529656406241018
h1_1.15,T4_low_angle_gb,K3/R2/P3,good,1.15,0.6,0.1,0.0,0.027932960893854747,True,0.9498349728750344
h1_1.15,T4_low_angle_gb,K3/R2/P4,good,1.15,0.6,0.1,0.0,0.013966480446927373,True,0.8382787915181912
h1_1.15,T4_low_angle_gb,K4/R2/P3,bad,1.15,0.6,0.1,1.0307262569832403,1.3016759776536313,True,0.6094073560367719
h1_1.15,T5_high_angle_gb,K1/R2/P3,bad,1.15,0.6,0.1,2.0294117647058822,1.9705882352941178,True,0.49620294146461086
h1_1.15,T5_high_angle_gb,K2/R2/P3,good,1.15,0.6,0.1,0.0106951871657754,0.058823529411764705,True,1.444472750331009
h1_1.15,T5_high_angle_gb,K3/R2/P3,good,1.15,0.6,0.1,0.034759358288770054,0.06951871657754011,True,0.835600602038906
