case,case_id,kernel,tier,r_bond_factor,r_bond_nd,n5_gt,n7_gt,ringL1_init,ringL1_relaxed,n5_relaxed,n7_relaxed,healthy,nmax
T3_dislocation_dipole,T3,K4,wrong,1.5,0.02732,0,0,1.0,1.0054,0,0,True,0.913
T4_low_angle_gb,T4,K2,correct,1.3,0.02372,1,0,0.0,0.027,0,0,True,1.292
T4_low_angle_gb,T4,K2,correct,1.4,0.02555,1,0,0.0,0.0349,0,1,True,1.292
T4_low_angle_gb,T4,K2,correct,1.5,0.02737,2,0,0.0159,0.0451,0,1,True,1.292
T4_low_angle_gb,T4,K3,correct,1.3,0.02372,1,0,0.0054,0.0296,0,0,True,0.849
T4_low_angle_gb,T4,K3,correct,1.4,0.02555,1,0,0.0054,0.0375,0,1,True,0.849
T4_low_angle_gb,T4,K3,correct,1.5,0.02737,2,0,0.0212,0.0477,0,1,True,0.849
T4_low_angle_gb,T4,K1@470_fair,correct,1.3,0.02372,1,0,0.0054,0.0162,0,0,True,0.564
T4_low_angle_gb,T4,K1@470_fair,correct,1.4,0.02555,1,0,0.0054,0.0134,0,0,True,0.564
T4_low_angle_gb,T4,K1@470_fair,correct,1.5,0.02737,2,0,0.0053,0.0265,0,0,True,0.564
T4_low_angle_gb,T4,K1@200_default,wrong,1.3,0.02372,1,0,1.0,1.0,0,0,True,0.588
T4_low_angle_gb,T4,K1@200_default,wrong,1.4,0.02555,1,0,1.0,1.0,0,0,True,0.588
T4_low_angle_gb,T4,K1@200_default,wrong,1.5,0.02737,2,0,1.0,0.9947,1,0,True,0.588
T4_low_angle_gb,T4,K4,wrong,1.3,0.02372,1,0,1.0,1.0,0,0,True,0.601
T4_low_angle_gb,T4,K4,wrong,1.4,0.02555,1,0,1.0,1.0,0,0,True,0.601
T4_low_angle_gb,T4,K4,wrong,1.5,0.02737,2,0,1.0,0.9973,0,0,True,0.601
T5_high_angle_gb,T5,K2,correct,1.3,0.0237,2,0,0.0105,0.0499,0,0,True,1.284
T5_high_angle_gb,T5,K2,correct,1.4,0.02552,1,0,0.0104,0.0573,0,0,True,1.284
T5_high_angle_gb,T5,K2,correct,1.5,0.02735,2,0,0.0103,0.0718,0,0,True,1.284
T5_high_angle_gb,T5,K3,correct,1.3,0.0237,2,0,0.0184,0.0551,0,0,True,0.749
T5_high_angle_gb,T5,K3,correct,1.4,0.02552,1,0,0.0182,0.0521,0,0,True,0.749
T5_high_angle_gb,T5,K3,correct,1.5,0.02735,2,0,0.0128,0.0615,1,0,True,0.749
T5_high_angle_gb,T5,K1@470_fair,correct,1.3,0.0237,2,0,0.0105,0.0682,0,0,True,0.575
T5_high_angle_gb,T5,K1@470_fair,correct,1.4,0.02552,1,0,0.0208,0.0651,3,0,True,0.575
T5_high_angle_gb,T5,K1@470_fair,correct,1.5,0.02735,2,0,0.0128,0.0538,6,0,True,0.575
T5_high_angle_gb,T5,K1@200_default,wrong,1.3,0.0237,2,0,1.0,1.0,0,0,True,0.491
T5_high_angle_gb,T5,K1@200_default,wrong,1.4,0.02552,1,0,1.0,1.0026,0,0,True,0.491
T5_high_angle_gb,T5,K1@200_default,wrong,1.5,0.02735,2,0,1.0,1.0,0,0,True,0.491
T5_high_angle_gb,T5,K4,wrong,1.3,0.0237,2,0,1.0,1.0,0,0,True,0.773
T5_high_angle_gb,T5,K4,wrong,1.4,0.02552,1,0,1.0,1.0,0,0,True,0.773
T5_high_angle_gb,T5,K4,wrong,1.5,0.02735,2,0,1.0,0.9872,0,0,True,0.773
