case,K,R,P,protocol,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,seed,Ef_rel
T0_pristine,K1,R2,P1,K1/R2/P1,1024,110,64,0.009174311926605505,740961977261.3174,2.665107748130099e+27,-3596821199895641.0,False,200,0.0,137995.4566229843,0.03258359177097111,5845.110578995674,False,905,1036,0,0,76,9,3,103,nan,477,593,0,0.0
T0_pristine,K1,R2,P2,K1/R2/P2,1024,110,64,0.009174311926605505,0.12122265768928105,0.07488614712007899,0.3822429853664172,False,300,0.0,35.457739959014084,0.2795786691509795,0.7262430417866403,False,0,2,0,0,0,0,0,0,1.0,0,0,0,0.0
T0_pristine,K1,R2,P3,K1/R2/P3,1024,110,64,0.009174311926605505,0.11194702437314864,0.08249910317638967,0.26305229068529207,False,300,0.0,41.66777721520473,0.0325835917709711,0.6091268217726397,False,902,865,0,0,76,0,0,65,1.0,478,489,0,0.0
T0_pristine,K1,R2,P4,K1/R2/P4,1024,110,64,0.009174311926605505,0.18275131768670907,0.1700208081446543,0.06966028865454585,False,300,0.0,26.627138848455473,0.13998865736693752,0.46230782618748756,False,902,849,0,0,76,4,0,124,nan,478,314,0,0.0
T0_pristine,K2,R2,P1,K2/R2/P1,1024,110,64,0.009174311926605505,1655070288980.0493,2.2817883172657705e+30,-1.378665505905457e+18,False,200,0.0,136385.75304806785,0.3380997580135453,25240.35885603831,False,994,743,0,0,174,1,0,2,nan,389,405,0,0.0
T0_pristine,K2,R2,P2,K2/R2/P2,1024,110,64,0.009174311926605505,0.002664877669014596,0.0008587253162906488,0.677761825139169,False,300,0.0,1.4909149721217283,0.300384394998275,0.6716447205548655,False,0,716,0,0,0,0,0,12,1.0,0,398,0,0.0
T0_pristine,K2,R2,P3,K2/R2/P3,1024,110,64,0.009174311926605505,0.09449376647580818,0.0804752026643802,0.1483543765293443,False,300,0.0,23.656766591139704,0.3380997580135453,0.6115587799346971,False,994,964,0,0,174,0,0,132,1.0,389,374,0,0.0
T0_pristine,K2,R2,P4,K2/R2/P4,1024,110,64,0.009174311926605505,0.10585136075408937,0.09340736422345455,0.11756104448713063,False,300,0.0,21.495037509495283,0.4177321877549375,0.5954143829931083,False,994,1008,0,0,174,0,0,134,1.0,389,417,0,0.0
T0_pristine,K3,R2,P1,K3/R2/P1,1024,110,64,0.009174311926605505,1849594871493.0981,1.630915769382527e+31,-8.817691887661643e+18,False,200,2.220446049250313e-16,139061.13777659438,0.356046184159443,29655.870518509833,False,986,739,0,0,165,6,0,1,nan,386,460,0,0.0
T0_pristine,K3,R2,P2,K3/R2/P2,1024,110,64,0.009174311926605505,0.000396747718284614,6.814742378981931e-05,0.8282348690385345,False,300,2.220446049250313e-16,0.43238741972151956,0.4531065889252234,0.7644191073904798,False,0,571,0,0,0,0,0,0,1.0,0,424,0,0.0
T0_pristine,K3,R2,P3,K3/R2/P3,1024,110,64,0.009174311926605505,0.08452613944339421,0.07959275062248816,0.05836524480347123,False,300,2.220446049250313e-16,13.992455789467886,0.356046184159443,0.47283403363327364,False,986,973,0,0,165,0,0,121,1.0,386,437,0,0.0
T0_pristine,K3,R2,P4,K3/R2/P4,1024,110,64,0.009174311926605505,0.0844754962461294,0.07953750078984383,0.05845476707112962,False,300,2.220446049250313e-16,14.0030166144299,0.35613150540272104,0.4730576589753692,False,986,972,0,0,165,0,0,121,1.0,386,437,0,0.0
T0_pristine,K4,R2,P1,K4/R2/P1,1024,110,64,0.009174311926605505,271012451984.22617,3.7519305745729e+24,-13844126153993.115,False,200,0.0,20621.852936105184,0.07082016623658122,1053.6041873783217,False,606,807,0,0,0,0,0,0,1.0,409,523,0,0.0
T0_pristine,K4,R2,P2,K4/R2/P2,1024,110,64,0.009174311926605505,0.0,0.0,0.0,True,200,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0,0,0,1.0,0,0,0,nan
T0_pristine,K4,R2,P3,K4/R2/P3,1024,110,64,0.009174311926605505,0.09295454856530247,0.08645750696212523,0.06989482175380514,False,300,0.0,13.295734998521567,0.07082016623658123,0.31223981440344767,False,435,471,0,0,0,0,0,0,1.0,306,312,0,0.0
T0_pristine,K4,R2,P4,K4/R2/P4,1024,110,64,0.009174311926605505,0.1103574423020913,0.1054744415126979,0.044247136283085665,False,300,0.0,12.0765088981278,0.08308904699333367,0.292259546131316,False,435,494,0,0,0,0,0,0,1.0,306,355,0,0.0
T0_pristine,K3,R1,P2,K3/R1/P2,1024,110,64,0.009174311926605505,0.000396747718284614,6.814742378981931e-05,0.8282348690385345,False,300,2.220446049250313e-16,0.43238741972151956,0.4531065889252234,0.7644191073904798,True,0,571,0,0,0,0,0,0,1.0,0,424,0,0.0
T0_pristine,K3,R3,P2,K3/R3/P2,1024,110,64,0.009174311926605505,2.485654484794366,2.485649213123445,2.12083817478654e-06,True,200,2.220446049250313e-16,0.2732911152970762,0.7001003770369004,0.002957543256212104,False,0,0,0,0,0,0,0,0,1.0,0,0,0,0.0
T1_vacancy,K1,R2,P1,K1/R2/P1,1023,110,64,0.009174311926605505,740000801860.6136,2.663838063245142e+27,-3599777265845316.0,False,200,3.333924859871438e-16,137941.28390856044,0.03255796759883102,5846.356241688577,False,903,1037,0,0,77,11,5,100,nan,479,591,0,-0.0004764103386993538
T1_vacancy,K1,R2,P2,K1/R2/P2,1023,110,64,0.009174311926605505,5.080593918004866,1.3783884430075155,0.7286954113528514,False,200,3.333924859871438e-16,38.66319079683346,0.4943407573464716,1.2088534263489006,False,637,568,4,1,1,7,3,11,2.0,461,333,0,17.406454277815723
T1_vacancy,K1,R2,P3,K1/R2/P3,1023,110,64,0.009174311926605505,0.1119803401003234,0.08253691501596665,0.2629338780180372,False,300,3.333924859871438e-16,41.66070529980398,0.032557967598831034,0.6086457500283582,False,899,859,0,0,77,0,0,65,1.0,480,487,0,0.00045833031052630184
T1_vacancy,K1,R2,P4,K1/R2/P4,1023,110,64,0.009174311926605505,0.1828274718801085,0.17007850412013736,0.06973223240942392,False,300,3.333924859871438e-16,26.642575549471253,0.13977108586504014,0.4622410815056037,False,899,841,0,0,77,4,0,119,nan,480,316,0,0.0003393465547697197
T1_vacancy,K2,R2,P1,K2/R2/P1,1023,110,64,0.009174311926605505,1654399932454.309,2.2819586624573113e+30,-1.3793271008371092e+18,False,200,0.0,136396.76401754585,0.33795914986419495,25252.382449593144,False,994,743,0,0,174,1,0,2,nan,389,405,0,7.465424827179077e-05
T1_vacancy,K2,R2,P2,K2/R2/P2,1023,110,64,0.009174311926605505,0.00291218257402497,0.0009961306077383811,0.6579436273593195,False,300,0.0,1.617772173852908,0.2806463166993825,0.6562302879783137,False,1247,675,15,11,32,0,0,3,0.0,655,398,0,0.16001076111423898
T1_vacancy,K2,R2,P3,K2/R2/P3,1023,110,64,0.009174311926605505,0.09449395810581761,0.08048362313802812,0.14826699239437327,False,300,0.0,23.64981891749185,0.337959149864195,0.6112843475488474,False,994,962,0,0,174,0,0,130,1.0,389,376,0,0.00010463438884446065
T1_vacancy,K2,R2,P4,K2/R2/P4,1023,110,64,0.009174311926605505,0.10583519192896036,0.09339343933207273,0.11755780256192006,False,300,0.0,21.493919104205276,0.4172653485090467,0.5952128072627192,False,994,1005,0,0,174,0,0,133,1.0,389,416,0,-0.00014907701868683516
T1_vacancy,K3,R2,P1,K3/R2/P1,1023,110,64,0.009174311926605505,1852364087549.277,1.642770156748345e+31,-8.868505753217068e+18,False,200,0.0,139086.80155119573,0.3562921786938395,29724.567512858783,False,986,739,0,0,166,6,0,1,nan,387,460,0,0.0072685466584862
T1_vacancy,K3,R2,P2,K3/R2/P2,1023,110,64,0.009174311926605505,0.0006016448892868179,0.00015530138352222084,0.7418720140607974,False,300,0.0,0.7042986303519119,0.3305704748454487,0.6876000172081844,False,985,9,0,0,186,0,0,0,1.0,379,0,0,1.2789032201892514
