case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,Ef_rel
T2_stone_wales,K2,R2,P2,K2/R2/P2,0.01,1024,512,296,0.0019569471624266144,9341635.13825616,2.930834263553137e+22,-3137388926217735.5,False,200,0.0,1026.8119240164692,0.017775876759973445,4405.2679904962015,False,376,632,0,0,0,5,5,0,nan,252,450,
T2_stone_wales,K2,R2,P3,K2/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.10024089961201951,0.07773244865670928,0.2245435849281956,True,13000,0.0,58.46453007177513,0.0002850225885225852,0.8344374826584453,False,1024,1031,2,1,429,2,1,437,1.0,0,22,
T2_stone_wales,K2,R2,P4,K2/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.12294357199144341,0.10443162756529209,0.15057269059532216,True,6600,0.0,52.75223265417983,0.0003145410291779267,0.766988054054135,False,1024,1031,2,1,429,2,1,437,1.0,0,23,
T2_stone_wales,K3,R2,P1,K3/R2/P1,0.01,1024,512,296,0.0019569471624266144,36942605630785.6,1.2569214402691982e+45,-3.402362715914549e+31,False,200,0.0,347243.21884394035,0.000514149909514423,15068570.413585197,False,1015,963,2,1,428,9,0,37,3.0,8,522,
T2_stone_wales,K3,R2,P2,K3/R2/P2,0.01,1024,512,296,0.0019569471624266144,236688.6869049267,1.084082324047974e+19,-45802033811755.664,False,200,0.0,603.0643573406883,0.014201837878010447,1207.814395426546,False,399,464,0,0,2,0,0,4,1.0,279,292,
T2_stone_wales,K3,R2,P3,K3/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.07759254561167368,0.07750474132010454,0.0011316073068226632,True,800,0.0,3.5328410462547133,0.0005141499095144231,0.09432355330850739,False,1024,951,2,1,436,0,0,393,0.0,0,62,
T2_stone_wales,K3,R2,P4,K3/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.07759254561167368,0.07750474132010454,0.0011316073068226632,True,800,0.0,3.5328410462547133,0.0005141499095144231,0.09432355330850739,False,1024,951,2,1,436,0,0,393,0.0,0,62,
T2_stone_wales,K4,R2,P1,K4/R2/P1,0.01,1024,512,296,0.0019569471624266144,254352361661.5327,2.806315620297787e+27,-1.1033180906856126e+16,False,200,2.220446049250313e-16,7403.524578701116,0.007356403921373915,3138.963960535693,False,308,783,1,5,7,0,0,0,0.0,145,442,
T2_stone_wales,K4,R2,P2,K4/R2/P2,0.01,1024,512,296,0.0019569471624266144,0.009458143424459253,0.0007746519154382509,0.9180968314103843,False,20000,2.220446049250313e-16,6.483971971011215,0.01373150830469305,0.953346721065749,False,369,41,2,0,3,0,0,0,0.0,241,17,
T2_stone_wales,K4,R2,P3,K4/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.11572236360304707,0.08092200578481122,0.30072283986186676,False,20000,2.220446049250313e-16,10.897639744222081,0.007356403921373909,0.7929383690335876,False,301,26,1,5,7,0,0,0,0.0,130,6,
