case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,admissible,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,n5_gt,n6_gt,n7_gt,n_atoms_gt,n_atoms_init_recon,atom_recon_err,ring_l1_init,tau_init_57,Ef_rel
T0_pristine,K4,R2,P3,K4/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.10872774034444105,0.08059160232148599,0.25877607622325227,False,20000,True,2.220446049250313e-16,10.161072354783991,0.007539634410739965,0.772125583292075,False,325,42,1,6,5,0,0,0,0.0,191,11,0,445,0,1024,325,0.6826171875,1.5707865168539326,nan,0.0
T0_pristine,K4,R2,P4,K4/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.15488363710809083,0.15024971465589745,0.02991873472702244,False,20000,True,2.220446049250313e-16,7.205344788980822,0.00987762633126354,0.4341754068251181,False,325,93,1,6,5,0,0,0,0.0,191,48,0,445,0,1024,325,0.6826171875,1.5707865168539326,nan,0.0
T0_pristine,K3,R1,P2,K3/R1/P2,0.01,1024,512,296,0.0019569471624266144,545126.9530891606,5.213401356838483e+18,-9563646279631.375,False,200,False,2.220446049250313e-16,737.8204206927855,0.016396831473986576,1048.0310938529583,True,385,495,0,0,6,0,0,0,1.0,237,322,0,445,0,1024,385,0.6240234375,2.1258426966292134,1.0,nan
T0_pristine,K3,R3,P2,K3/R3/P2,0.01,1024,512,296,0.0019569471624266144,2.4437781625714954,2.44377816161621,3.9090503341128456e-10,True,200,True,2.220446049250313e-16,0.01139789193010134,0.04921369835497981,3.9314982174161815e-05,False,0,0,0,0,0,0,0,0,1.0,0,0,0,445,0,1024,0,1.0,1.0,1.0,0.0
T1_vacancy,K1,R2,P1,K1/R2/P1,0.01,1023,512,296,0.0019569471624266144,421469714934.3586,3.23010754020085e+26,-766391374218647.2,False,200,False,1.1113082866238126e-16,99071.22212475097,8.333832063589806e-05,3195.454032345779,False,534,1071,0,0,0,2,5,38,nan,361,675,0,456,0,1023,534,0.4780058651026393,3.0,1.0,nan
T1_vacancy,K1,R2,P2,K1/R2/P2,0.01,1023,512,296,0.0019569471624266144,0.03324409780744248,0.0015648946790757033,0.9529271424918813,False,20000,True,1.1113082866238126e-16,45.30809486474937,0.00015169046018320833,0.9838750986489174,False,498,163,0,0,0,0,0,0,1.0,345,77,0,456,0,1023,498,0.5131964809384164,2.682017543859649,1.0,0.3019615062889309
T1_vacancy,K1,R2,P3,K1/R2/P3,0.01,1023,512,296,0.0019569471624266144,0.09658412868669247,0.07768028076709442,0.1957241647944033,True,20000,True,1.1113082866238126e-16,38.8359134758791,8.333832063589805e-05,0.8108627066256465,False,518,455,0,0,0,0,0,4,1.0,361,323,0,456,0,1023,518,0.49364613880742914,2.892543859649123,1.0,0.0005566968243557163
T1_vacancy,K1,R2,P4,K1/R2/P4,0.01,1023,512,296,0.0019569471624266144,0.1238769434972315,0.1134669497834252,0.08403495775659778,True,4200,True,1.1113082866238126e-16,31.031070003306123,0.000373653642302659,0.6549166939256139,False,518,440,0,0,0,0,0,2,1.0,361,314,0,456,0,1023,518,0.49364613880742914,2.892543859649123,1.0,0.183839236128006
T1_vacancy,K2,R2,P1,K2/R2/P1,0.01,1023,512,296,0.0019569471624266144,2663371547690.542,2.109509867172216e+32,-7.920449060144877e+19,False,200,False,4.44523314649525e-16,337358.2790504031,0.00035187021056077395,60183.83305033349,False,1023,971,0,0,449,0,0,133,1.0,3,395,0,456,0,1023,1023,0.0,0.015350877192982455,1.0,nan
T1_vacancy,K2,R2,P2,K2/R2/P2,0.01,1023,512,296,0.0019569471624266144,288849.40227213915,1.6249901078004466e+19,-56257347081834.53,False,200,False,4.44523314649525e-16,661.3814164611631,0.025117536801536805,1711.5516081636483,False,356,699,0,0,0,0,0,0,1.0,216,538,0,456,0,1023,356,0.6520039100684262,2.0526315789473686,1.0,nan
T1_vacancy,K2,R2,P3,K2/R2/P3,0.01,1023,512,296,0.0019569471624266144,0.10024008532990165,0.07773330318707895,0.22452876081210715,True,13600,True,4.44523314649525e-16,58.248813575514305,0.00035187021056077374,0.8343354073728733,False,1023,1036,0,0,449,0,0,442,1.0,3,49,0,456,0,1023,1023,0.0,0.015350877192982455,1.0,-5.051815255844384e-05
